tweet_id,airline_emg,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
5.679E+17,negative,Southwest,,ColeyGirouard,,0,"@SouthwestAir I am scheduled for the morning, 2 days after the fact, yes..not sure why my evening flight was the only one Cancelled Flightled",,17-02-2015 20:16,Washington D.C.,Atlantic Time (Canada)
5.69989E+17,positive,Southwest,,WalterFaddoul,,0,@SouthwestAir seeing your workers time in and time out going above and beyond is why I love flying with you guys. Thank you!,,23-02-2015 14:36,"Indianapolis, Indiana; USA",Central Time (US & Canada)
5.68089E+17,positive,United,,LocalKyle,,0,"@united Flew ORD to Miami and back and  had great crew, service on both legs. THANKS",,18-02-2015 08:46,Illinois,Central Time (US & Canada)
5.68928E+17,negative,Southwest,,amccarthy19,,0,@SouthwestAir @dultch97 that's horse radish 😤🐴,,20-02-2015 16:20,,Atlantic Time (Canada)
5.68594E+17,negative,United,,J_Okayy,,0,"@united so our flight into ORD was delayed because of Air Force One, but the last flight to SBN is at 8:20, 5 mins from now we just landed.",,19-02-2015 18:13,,Eastern Time (US & Canada)
5.69678E+17,negative,United,,bobgiolito,,0,@united Why did you load us in this flying sardine can if you knew the pilots were 2 hours Late Flight?? #incompetent beyond belief,,22-02-2015 17:58,"Los Angeles, CA",Pacific Time (US & Canada)
5.69659E+17,negative,Delta,,aaronkinnari,,0,@JetBlue that is a stock response. Delays not as frustrating as poor cust serv &amp; being told by 3 ppl to wait &amp; they'd come back but did not.,,22-02-2015 16:44,Gotham,Quito
5.68543E+17,positive,Delta,,TimothySays,,0,@JetBlue That'd be nice! Hoping to rack up enough miles to take a trip to Seattle and enjoy a perfect latte in the city of coffee.,,19-02-2015 14:48,"Burlington, MA",Eastern Time (US & Canada)
5.70116E+17,negative,United,,lindaSWC,,1,"@united frankly worse customer service ever. Problems will happen, how you deal defines a company. Never again United.",,23-02-2015 23:01,,
5.6887E+17,positive,Southwest,,amyums,,0,@SouthwestAir yeah haha. Never been in one. It's expensive 😂😂 and we will!!!!! So much fun! #destinationdragons,,20-02-2015 12:29,,Central Time (US & Canada)
5.67794E+17,negative,Southwest,,Faultie,,0,@SouthwestAir MCO-&gt;DCA flight almost full of people screwed by the MSY-DCA Cancelled Flightation. @united and @USAirways didn't Cancelled Flight. SWA=mistake.,"[38.73693556, -90.35367062]",17-02-2015 13:12,D.C.,
5.69879E+17,neutral,Delta,,tonymbove,,0,@JetBlue what's the easiest way to get a ticket receipt? Can I get one at check in or can I get one online? Thanks!,,23-02-2015 07:20,"Cambridge, MA",Quito
5.68518E+17,positive,US Airways,,sherrylweir,,0,"@USAirways - love the changes in the lounge - cheese, veggies, olives in addition to the crackers and snack mix,",,19-02-2015 13:09,,Quito
5.68213E+17,negative,Southwest,,Mselite25,,0,@SouthwestAir I receive bad customer service and ended up spending several hundred dollars to accommodate my family during each cxl flight,,18-02-2015 16:58,Rite behind my $$,Mountain Time (US & Canada)
5.6927E+17,negative,US Airways,,KennethBracy,,0,@USAirways you're killing me sche a flight to board 3 min after mine arrived with gate on other side of airport #genious,,21-02-2015 14:59,Where ever God puts me,
5.67817E+17,negative,US Airways,,SyncSummit,,0,@USAirways 8 weeks to refund this ticket - 0372389047497?!? - totally unacceptable.  Fix this or I'll put it on blast on social media and TV,,17-02-2015 14:43,Where Music meets Visual Media,Eastern Time (US & Canada)
5.6969E+17,negative,American,,Lioninflorida,,0,@AmericanAir no private msg me and will provide details...u really need customer svc training for your staff,,22-02-2015 18:48,"Fort Myers, Florida",Eastern Time (US & Canada)
5.69933E+17,negative,Delta,,TheBuie,,22,can you not? RT @JetBlue Our fleet's on fleek. http://t.co/413GiAL0yl,,23-02-2015 10:51,"Raleigh, NC",Eastern Time (US & Canada)
5.69939E+17,negative,Delta,,TheRealOx,,0,@JetBlue any info on why flight 704 from SJU to JFK is already delayed 2 1/2 hours?,,23-02-2015 11:18,,Eastern Time (US & Canada)
5.69958E+17,negative,American,,Rizzilient,,0,"@AmericanAir, I've tried no less than 8 times today to get in touch with your service desk beginning at 8:30 EST.  I'm having no luck -help!",,23-02-2015 12:33,,
5.68361E+17,negative,US Airways,,TomFutureforall,,0,@USAirways new problem...had wrong last name on reservation which is airways fixed. New can't get through TSA,,19-02-2015 02:47,,
5.68127E+17,neutral,Southwest,,DoctorFox007,,0,@SouthwestAir Any possible chance of SWA bringing back service between LGA-BWI? It would make it much easier to connect to the west coast.,,18-02-2015 11:15,"ÜT: 40.819919,-73.864869",Eastern Time (US & Canada)
5.68884E+17,negative,US Airways,,chrisseifert83,,0,@USAirways @AmericanAir who runs the show at the airport have a boarding pass says us airways and I have to wait in American line #yousuck,,20-02-2015 13:24,"Stamford, Ct",Eastern Time (US & Canada)
5.70056E+17,negative,United,,JeffPKirkland,,0,@united computers are down but you stopped giving updates and took my flight info off the app. That's just ridiculous keep people updated!,,23-02-2015 19:00,Oregon,Pacific Time (US & Canada)
5.68804E+17,positive,United,,jonatzzValdez,,0,@united good fly!! #United #businessFirst,"[29.98445184, -95.33224657]",20-02-2015 08:07,Mexico,Central Time (US & Canada)
5.67925E+17,neutral,United,,MusseZam,,0,"@united I am flying from msp to dxb, my child will turn 2 during the trip do I have to buy a return ticket for my child?",,17-02-2015 21:54,,
5.68434E+17,negative,Delta,,Old_bauer,,0,@JetBlue loves Cancelled Flightling tickets and not telling their customers #flyunited,,19-02-2015 07:37,,Eastern Time (US & Canada)
5.70083E+17,negative,United,,KeenanPam,,0,"@united In ORD, waited 20 min after crew members left before gate items came. Flight attendant sarcastically said good luck and walked away.",,23-02-2015 20:50,,
5.68585E+17,positive,Southwest,,Salem_Eways,,0,@SouthwestAir Jason (108639) at Gate #3 in SAN made my afternoon!!! #southwestairlines #stellarservice #thanks!,,19-02-2015 17:38,,
5.70022E+17,positive,American,,MarkMan23,,0,@AmericanAir everything for sorted out. Thanks for the help. Excited to get home tonight!,,23-02-2015 16:47,"San Diego, CA",Pacific Time (US & Canada)
5.69659E+17,negative,American,,U2Ken,,0,@AmericanAir understand the weather but would be nice to hear an apology on the phone when you moved my flight to an inconvenient day,,22-02-2015 16:43,Tucson,Pacific Time (US & Canada)
5.67738E+17,positive,Southwest,,StarkTTT,,0,@SouthwestAir and thanks!,,17-02-2015 09:29,Château d'If,Central Time (US & Canada)
5.69098E+17,negative,United,,NicoleRoundy,,0,@united it's been booked into first class with curbside delivery 24 hours from now. I'm counting on it! #TeamUSA,,21-02-2015 03:36,"Park City, UT",Mountain Time (US & Canada)
5.68802E+17,positive,Delta,,mariobonifacio,,0,@JetBlue Oh that totally looks on par with @AmericanAir's Admirals Club; any way you can slide us a couple passes? ;),,20-02-2015 07:57,New York,Eastern Time (US & Canada)
5.69917E+17,negative,American,,ricmarias,,0,@AmericanAir We've 15 official complaints signed by #AmericanAirlines Lima supervisor. Customer Relations pls compensate 4 the 10-hour delay,,23-02-2015 09:50,,Madrid
5.70065E+17,negative,Delta,,DarthVada_R2D2,,0,@JetBlue but the 4 hour policy- when I called and they said I didn't report it soon enough. What would have changed if I had noticed sooner?,,23-02-2015 19:38,,Atlantic Time (Canada)
5.69626E+17,negative,United,,iamchriswoody,,0,"@united the most frustrating flying experience. One continuous ""I dunno what time you will leave today. "". Dunno?! That's code for ...?",,22-02-2015 14:33,Richmond Virginia ,Eastern Time (US & Canada)
5.69243E+17,negative,Southwest,,inspiration4ppl,,0,@SouthwestAir Hi I just got a message that part of my flights is Cancelled Flightled. I can't rebook online and nobody answers my phone call. Help me,,21-02-2015 13:10,"명동서식 37.56638,126.984994",Seoul
5.67722E+17,negative,Southwest,,ClaudddiaVS,,0,@SouthwestAir I need updates on my flights 464 &amp; 3574. I have been on hold for over 2 hours.,"[30.35571967, -87.27675562]",17-02-2015 08:28,"Northridge, CA",Pacific Time (US & Canada)
5.69863E+17,neutral,US Airways,,BSmithwood,,0,@USAirways I'm supposed to fly through Dallas. Can you help me get a new itinerary?,,23-02-2015 06:15,"Boston, MA",
5.7027E+17,negative,American,,rqualls,,0,@AmericanAir so you fail again flight to rdu sitting waiting on flight attendants. your logistics are not good,,24-02-2015 09:10,,
5.69809E+17,positive,United,,Steinberg1,,0,@united I am impressed with your super-fast reply to @CGJase,"[20.0615871, 110.18390431]",23-02-2015 02:39,Beijing,Beijing
5.69336E+17,negative,United,,Colettod,,0,@united no I don't. Spoke with baggage contact at 1-800 number. Said they will try to get bags to stay at IAD for pick up tmrw,,21-02-2015 19:21,"Ottawa, ON",Eastern Time (US & Canada)
5.69918E+17,negative,US Airways,,jonbrownmusic,,0,@USAirways Who intentionally buys a flight with a 10 hour layover?  And what kind of airline would charge $200 to fix it? Wow... #usairways,,23-02-2015 09:52,New Orleans,
5.67766E+17,negative,Southwest,,OnyxMediagroup1,,0,@SouthwestAir do you do auto callbacks so I don't have to wait on hold?,,17-02-2015 11:21,USA,Eastern Time (US & Canada)
5.69272E+17,neutral,United,,BekeAbe,,0,@united can I get your service desk # at IAD?,,21-02-2015 15:04,Gooner,Eastern Time (US & Canada)
5.70232E+17,positive,Delta,,eatgregeat,,0,@JetBlue your blue helped bring out the color of my eyes. And I promise I didn't eat all the free snacks.,"[34.02764112, -118.49636416]",24-02-2015 06:40,,Eastern Time (US & Canada)
5.68462E+17,positive,United,,DeltaBravo33,,0,@united Yes ! :D (Y) From @therealaviation on Instagram :),,19-02-2015 09:28,France,
5.68194E+17,negative,Delta,,djh11375,,0,@JetBlue I did not report the updated info - don't know how to reach them without a super long wait on hold at your main number.,,18-02-2015 15:41,"Forest Hills, NY",Eastern Time (US & Canada)
5.68542E+17,neutral,Delta,,royalsherman,,0,"@JetBlue I want to enter the family pooling contest, it says ""by 2/19"" on the website, can I please enter still!",,19-02-2015 14:45,,
5.68634E+17,neutral,US Airways,,syfialkoff,,0,@USAirways and that you can choose the same seat for free after clicking 100 buttons.,,19-02-2015 20:51,,
5.70102E+17,negative,United,,kbleggett,,0,@united plus what about food? And taxis?,,23-02-2015 22:03,"Ottawa, Canada",Eastern Time (US & Canada)
5.69357E+17,negative,US Airways,,PhilHagen,,0,@USAirways 3hr30min right now...  any end in sight?,,21-02-2015 20:42,"Lewes, DE, USA",Eastern Time (US & Canada)
